EVENT_TYPE, ORGANIZATION_ID, TIMESTAMP, USER_ID, CLIENT_IP, CLIENT_NAME, API_TYPE, API_VERSION, METHOD_NAME, ENTITY_NAME, ROWS_PROCESSED, REQUEST_SIZE, RESPONSE_SIZE, URI, RUN_TIME
API, 00DD0000000K5xD,2.01308E+13, 005D0000001REDy, 10.0.62.79, , ,29, query, ApexLog,27, , , /services/data/v29.0/tooling/query/,42
API, 00DD0000000K5xD,2.01308E+13, 005D0000001REDy, 10.1.34.88, Workbench/27.0.10i, P,29, get_user_info, , ,443,655, Api,145
API, 00DD0000000K5xD,2.01308E+13, 005D0000001REDy, 10.1.34.88, Workbench/27.0.10i, P,29, describe, , ,444,5204, Api,1097
API, 00DD0000000K5xD,2.01308E+13, 005D0000001REDy, 10.0.62.79, , ,29, update, TraceFlag,1, , , /services/data/v29.0/tooling/sobjects/TraceFlag/7tfD00000000xWNIAY,81
API, 00DD0000000K5xD,2.01308E+13, 005D0000001REDy, 10.0.62.79, , ,29, query, ApexLog,0, , , /services/data/v29.0/tooling/query/,100
API, 00DD0000000K5xD,2.01308E+13, 005D0000001REDy, 10.0.62.79, , ,29, query, TraceFlag,0, , , /services/data/v29.0/tooling/query/,52
API, 00DD0000000K5xD,2.01308E+13, 005D0000001REDy, 10.0.62.79, , ,29, update, IDEWorkspace,1, , , /services/data/v29.0/tooling/sobjects/IDEWorkspace/1deD00000000yvxIAA,55
API, 00DD0000000K5xD,2.01308E+13, 005D0000001REDy, 10.0.62.79, , ,29, query, ApexLog,7, , , /services/data/v29.0/tooling/query/,28
API, 00DD0000000K5xD,2.01308E+13, 005D0000001REDy, 10.0.62.79, , ,29, query, ApexLog,30, , , /services/data/v29.0/tooling/query/,37
API, 00DD0000000K5xD,2.01308E+13, 005D0000001REDy, 10.0.62.79, , ,29, update, IDEWorkspace,1, , , /services/data/v29.0/tooling/sobjects/IDEWorkspace/1deD00000000yvxIAA,87
API, 00DD0000000K5xD,2.01308E+13, 005D0000001REDy, 10.0.62.79, , ,29, query, TraceFlag,1, , , /services/data/v29.0/tooling/query/,21
